Movie Name,Year,Genre,Storyline
Anora,2024,Romantic Comedy-Drama,"A Brooklyn stripper impulsively marries the son of a Russian oligarch, but love collides with wealth and tradition when his powerful family intervenes."
Beating Hearts,2024,Romance / Drama,"A young couple in Paris navigates love, music, and identity as their relationship is tested by ambition and sacrifice."
Sweethearts,2024,Romantic Comedy,"Two childhood friends make a pact to break up with their partners during Thanksgiving break, only to discover hidden feelings for each other."
Queer,2024,Romance / Drama,"Set in post-war Mexico City, an American expat becomes entangled in a turbulent love affair that forces him to confront his desires."
We Live in Time,2024,Romance / Drama,"A chance encounter between a chef and a divorcé blossoms into a deep relationship, but illness challenges their future together."
Your Monster,2024,Romantic Comedy / Fantasy,"After a devastating breakup, a young woman discovers a charming but sarcastic monster living in her closet who helps her heal and find love again."
Our Church Thinks We’re Dating,2024,Romance / Comedy,"Two best friends pretend to be in a relationship to stop gossip at their local church, but fake love slowly becomes real."
Touch,2024,Romantic Drama,A widowed teacher searching for his missing wife finds healing and unexpected connection with a woman who helps him grieve.
Cora Bora,2024,Romance / Drama,A struggling musician reevaluates her choices when she returns home and confronts old relationships and unfinished love.
Dandelion,2024,Romance / Drama,"A musician forms an unlikely connection with a fellow traveler on a road trip, discovering love and inspiration along the way."
It Ends With Us,2024,Romance / Drama,"Based on the novel, a woman torn between her first love and a new relationship faces painful truths about abuse and resilience."
Irish Wish,2024,Romantic Comedy,"When a woman wishes for true love at her best friend’s wedding in Ireland, she wakes up engaged to the groom, forcing her to rethink her heart’s desire."
The Idea of You,2024,Romance / Drama,"A 40-year-old single mother falls in love with a much younger pop star, testing the boundaries of fame, love, and societal judgment."
Challengers,2024,Romance / Drama / Sports,"A love triangle unfolds between three tennis players over several years, blurring lines between ambition, rivalry, and passion."
Past Lives,2024,Romantic Drama,"Two childhood friends, separated by distance and time, reunite years later and confront what might have been."
A Love Undone,2024,Romance,A woman engaged to be married struggles when she unexpectedly reconnects with her long-lost first love.
Love’s Last Chapter,2024,Romance / Drama,An aging novelist reflects on his greatest love story while mentoring a young writer who helps him rediscover hope.
Heartstrings,2024,Romance / Comedy,"A violinist and a guitarist, rivals in a local band competition, discover harmony not just in music but in each other."
Moonlight Sonata,2024,Romance,Two pianists from different worlds meet at a music retreat and fall in love through the power of shared melodies.
Between Two Worlds,2024,Romance / Fantasy,"A young woman discovers she can move between parallel universes, where she must choose between two versions of her soulmate."
Serenade of Hearts,2024,Romance,"A street performer and a corporate lawyer collide in the city’s busiest square, learning that love can come from the most unexpected encounters."
Autumn’s Promise,2024,Romance / Drama,"In a small town, two childhood friends reconnect during harvest season, realizing that their bond has quietly grown into love."
Limits of Love,2024,Romance / Thriller,"A journalist investigating a dangerous conspiracy falls for the very man she’s supposed to expose, forcing her to choose between love and truth."
